fileName,fileDurationInSec,fileSamplerate,audioChannels,bytesPerSample,compression,numberOfFrames,numberOfSpeechFramesWebRTC,percentageOfSpeechFramesWebRTC,speechDurationInSecWebRTC,speechPercentageP56,speechDurationP56,LoudnessITU-R1770-4,ActiveSpeechLevelP56,BandwiseBandwidthEstimation,ShortAmplitudeReversalCounts,deviceAndMicrophone
B03_907d_Gm_R01_S05_tr.wav,10.349,48000,1,2,not compressed,344,252,0.733,7.56,0.66,6.827,-18.299,-18.327,SWB,0,Laptop with a headset or external mic
B03_8fb2_Gm_R07_S05_tr.wav,9.235,48000,1,2,not compressed,307,216,0.704,6.48,0.707,6.525,-24.19,-23.848,FB,0,"Laptop, built-in mic"
B03_bb4c_Gf_R11_S05_tr.wav,8.982,48000,1,2,not compressed,299,248,0.829,7.44,0.906,8.138,-24.585,-25.459,FB,0,Laptop with a headset or external mic
B03_c29f_Gm_R02_S04_tr.wav,12.779,48000,1,2,not compressed,425,348,0.819,10.44,0.853,10.894,-25.274,-24.629,FB,0,"Laptop, built-in mic"
B03_4115_Gf_R09_S03_tr.wav,19.563,48000,1,2,not compressed,652,557,0.854,16.71,0.879,17.192,-23.616,-25.024,FB,0,Laptop with a headset or external mic
B04_6ec4_Gf_R08_S02_tr.wav,16.896,48000,1,2,not compressed,563,490,0.87,14.7,0.879,14.846,-26.425,-25.875,SWB,0,"Smartphone, built-in mic"
B03_c8be_Gm_R11_S05_tr.wav,8.442,48000,1,2,not compressed,281,219,0.779,6.57,0.818,6.905,-22.73,-25.049,FB,0,"Laptop, built-in mic"
B03_addf_Gf_R05_S01_tr.wav,16.052,48000,1,2,not compressed,535,470,0.879,14.1,0.889,14.272,-24.648,-23.989,FB,0,"Laptop, built-in mic"
B03_5400_Gm_R02_S03_tr.wav,17.25,48000,2,2,not compressed,574,496,0.864,14.88,0.878,15.141,-23.815,-25.928,WB,0,"Laptop, built-in mic"
B03_1064_Gm_R02_S01_tr.wav,16.711,48000,1,2,not compressed,557,419,0.752,12.57,0.751,12.545,-29.526,-29.734,FB,0,Laptop with a headset or external mic
B03_959c_Gm_R03_S05_tr.wav,11.733,48000,2,2,not compressed,391,263,0.673,7.89,0.66,7.748,-18.464,-21.294,WB,0,"Laptop, built-in mic"
B04_4ffc_Gm_R09_S03_tr.wav,19.191,48000,1,2,not compressed,639,526,0.823,15.78,0.832,15.967,-20.091,-19.209,SWB,0,"Laptop, built-in mic"
B03_2120_Gm_R06_S04_tr.wav,16.879,48000,1,2,not compressed,562,417,0.742,12.51,0.812,13.71,-22.779,-23.04,FB,0,"Laptop, built-in mic"
B04_913f_Gf_R11_S05_tr.wav,9.489,48000,1,2,not compressed,316,248,0.785,7.44,0.795,7.542,-17.795,-16.935,FB,0,"Smartphone, built-in mic"
B03_d275_Gm_R04_S01_tr.wav,15.158,48000,2,2,not compressed,505,445,0.881,13.35,0.903,13.684,-14.931,-17.933,FB,0,"Laptop, built-in mic"
B03_304a_Gf_R09_S03_tr.wav,18.238,48000,1,2,not compressed,607,535,0.881,16.05,0.914,16.662,-22.868,-23.987,FB,0,"Laptop, built-in mic"
B03_79b8_Gm_R04_S02_tr.wav,10.923,48000,1,2,not compressed,364,322,0.885,9.66,0.849,9.269,-26.001,-25.48,SWB,0,Laptop with a headset or external mic
B03_89d9_Gf_R05_S01_tr.wav,15.124,48000,1,2,not compressed,504,422,0.837,12.66,0.855,12.924,-23.766,-23.585,FB,0,"Laptop, built-in mic"
B03_328c_Gm_R10_S04_tr.wav,13.741,48000,1,2,not compressed,458,365,0.797,10.95,0.835,11.474,-26.147,-25.783,FB,0,"Laptop, built-in mic"
B04_5e87_Gm_R09_S03_tr.wav,16.849,48000,1,2,not compressed,561,458,0.816,13.74,0.863,14.54,-23.079,-23.154,FB,0,"Smartphone, built-in mic"
B04_098d_Gm_R09_S03_tr.wav,16.137,48000,1,2,not compressed,537,438,0.816,13.14,0.85,13.724,-25.234,-24.913,WB,0,"Laptop, built-in mic"
B03_c99f_Gf_R02_S04_tr.wav,14.23,48000,1,2,not compressed,474,403,0.85,12.09,0.868,12.348,-24.576,-25.664,WB,0,Laptop with a headset or external mic
B04_1362_Gm_R05_S01_tr.wav,16.205,48000,1,2,not compressed,540,439,0.813,13.17,0.826,13.379,-12.451,-12.208,SWB,0,"Smartphone, built-in mic"
B04_be5e_Gm_R09_S03_tr.wav,12.913,48000,1,2,not compressed,430,383,0.891,11.49,0.882,11.395,-16.85,-16.171,FB,0,"Smartphone, built-in mic"
B04_ee51_Gf_R09_S03_tr.wav,16.441,48000,1,2,not compressed,548,426,0.777,12.78,0.806,13.245,-24.057,-23.942,FB,0,"Laptop, built-in mic"
B03_044d_Gm_R01_S02_tr.wav,18.094,48000,1,2,not compressed,603,462,0.766,13.86,0.805,14.569,-26.492,-26.626,FB,0,Laptop with a headset or external mic
B04_c45b_Gf_R05_S01_tr.wav,16.036,48000,1,2,not compressed,534,456,0.854,13.68,0.86,13.794,-18.801,-18.315,SWB,0,"Smartphone, built-in mic"
B04_3d1c_Gm_R05_S01_tr.wav,17.892,48000,1,2,not compressed,596,539,0.904,16.17,0.888,15.896,-25.3,-24.616,SWB,0,"Smartphone, built-in mic"
B03_dc1a_Gf_R02_S04_tr.wav,15.676,48000,1,2,not compressed,522,432,0.828,12.96,0.845,13.249,-23.402,-23.932,FB,0,Laptop with a headset or external mic
B03_7936_Gm_R06_S01_tr.wav,18.449,48000,1,2,not compressed,614,478,0.779,14.34,0.846,15.607,-26.1,-25.949,FB,0,Laptop with a headset or external mic
B00_e19d_Gm_R10_S04_SARrestored_tr.wav,18.516,48000,1,4,not compressed,617,521,0.844,15.63,0.855,15.835,-16.104,-15.902,WB,0,"Smartphone, built-in mic"
B04_4997_Gm_R08_S02_tr.wav,14.871,48000,1,2,not compressed,495,395,0.798,11.85,0.84,12.494,-18.062,-17.79,SWB,0,"Smartphone, built-in mic"
B03_ebf3_Gf_R02_S03_tr.wav,16.036,48000,1,2,not compressed,534,439,0.822,13.17,0.842,13.5,-22.55,-22.044,FB,0,"Laptop, built-in mic"
B03_852e_Gm_R03_S01_tr.wav,12.154,48000,1,2,not compressed,405,350,0.864,10.5,0.884,10.749,-25.094,-24.637,FB,0,"Laptop, built-in mic"
B03_8dfb_Gm_R10_S04_tr.wav,18.483,48000,2,2,not compressed,616,515,0.836,15.45,0.83,15.35,-15.471,-17.936,FB,0,"Laptop, built-in mic"
B04_5117_Gf_R08_S02_tr.wav,13.369,48000,1,2,not compressed,445,389,0.874,11.67,0.867,11.591,-20.759,-21.358,WB,0,Laptop with a headset or external mic
B04_f3db_Gf_R11_S05_tr.wav,8.121,48000,1,2,not compressed,270,204,0.756,6.12,0.806,6.548,-19.635,-19.576,WB,0,"Smartphone, built-in mic"
B03_d562_Gm_R02_S05_tr.wav,7.801,48000,1,2,not compressed,260,211,0.812,6.33,0.837,6.526,-21.1,-23.251,FB,0,"Laptop, built-in mic"
