File_Name,ParticipantID,Device,ConditionNr,ASL,SNR,Speech Percentage,Duration,Bandwidth
P01_F_C6_Smartphone_S04.wav,P01,Smartphone (iPhone 11 Pro),6,-17.19946752568045,38.17914287047146,0.932164537962149,13.12,SWB
P01_F_C6_Smartphone_S05.wav,P01,Smartphone (iPhone 11 Pro),6,-16.72885120613309,46.54672303337529,0.9026972381395312,7.765328798185941,SWB
P01_F_C7_Smartphone_S01.wav,P01,Smartphone (iPhone 11 Pro),7,-16.264515650959876,50.52697514795896,0.9094526352862176,7.957324263038549,SWB
P01_F_C7_Smartphone_S02.wav,P01,Smartphone (iPhone 11 Pro),7,-17.788291747251268,38.14457879933136,0.9509955987192164,12.8,SWB
P01_F_C7_Smartphone_S03.wav,P01,Smartphone (iPhone 11 Pro),7,-18.935443530950103,38.5379616561312,0.9244451132836872,12.906666666666666,SWB
P01_F_C7_Smartphone_S04.wav,P01,Smartphone (iPhone 11 Pro),7,-16.963623309666076,40.880810584504125,0.927280620878869,11.52,SWB
P01_F_C7_Smartphone_S05.wav,P01,Smartphone (iPhone 11 Pro),7,-17.508567485995993,38.2294046052729,0.9199193305150236,13.034671201814058,SWB
P01_F_C8_AirPods_S01.wav,P01,AirPods,8,-24.89210840494652,36.89911100147178,0.8905736218111178,12.501337868480723,SWB
P01_F_C8_AirPods_S02.wav,P01,AirPods,8,-24.669380446183805,36.33391056946928,0.9009835297606968,11.263990929705216,WB
P01_F_C8_AirPods_S03.wav,P01,AirPods,8,-24.786013953825837,35.200006635998704,0.8942937462852032,13.183990929705216,SWB
P01_F_C8_AirPods_S04.wav,P01,AirPods,8,-25.54431620455545,35.65885768433352,0.8870221411133306,13.183990929705216,SWB
P01_F_C8_AirPods_S05.wav,P01,AirPods,8,-24.828066247374597,40.91396089760938,0.8694344459612025,7.296009070294785,SWB
P01_F_C9_Smartphone_S01.wav,P01,Smartphone (iPhone 11 Pro),9,-25.79324099345491,43.04800513089259,0.8669463145082253,14.35732426303855,SWB
P01_F_C9_Smartphone_S02.wav,P01,Smartphone (iPhone 11 Pro),9,-25.447411645697063,42.812034373674656,0.8602080361049346,12.821337868480724,SWB
P01_F_C9_Smartphone_S03.wav,P01,Smartphone (iPhone 11 Pro),9,-24.823537445536317,49.92225727941978,0.92592276808648,13.269342403628118,SWB
P01_F_C9_Smartphone_S04.wav,P01,Smartphone (iPhone 11 Pro),9,-24.35841701130659,99.0,0.975758580080708,12.842675736961452,SWB
P01_F_C9_Smartphone_S05.wav,P01,Smartphone (iPhone 11 Pro),9,-22.449915325153995,56.898635048180665,0.8876166156839892,7.1893424036281175,SWB
P02_M_C1_Smartphone_S01.wav,P02,Smartphone (iPhone 11 Pro),1,-28.583437076757715,42.85124126669664,0.810198636337178,13.951995464852608,FB
P02_M_C1_Smartphone_S02.wav,P02,Smartphone (iPhone 11 Pro),1,-27.14536205277963,42.80578268502333,0.7925646174862795,13.823990929705216,FB
P02_M_C1_Smartphone_S03.wav,P02,Smartphone (iPhone 11 Pro),1,-26.683256225701328,40.4815549256789,0.8389573005275262,15.296009070294785,SWB
P02_M_C1_Smartphone_S04.wav,P02,Smartphone (iPhone 11 Pro),1,-27.10052276846561,43.26789471785876,0.7883721253562164,15.018662131519276,FB
P02_M_C1_Smartphone_S05.wav,P02,Smartphone (iPhone 11 Pro),1,-25.505538344920748,48.21490634443248,0.7771591906585914,7.722675736961452,FB
P02_M_C2_Laptop_S01.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),2,-17.09635904525537,37.93061632714613,0.7693721200744434,13.35467120181406,WB
P02_M_C2_Laptop_S02.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),2,-16.620544800346543,38.542670434485984,0.7468862486634106,14.16532879818594,WB
P02_M_C2_Laptop_S03.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),2,-15.768632147155696,37.04890376403113,0.739928890842634,16.0,WB
P02_M_C2_Laptop_S04.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),2,-16.72348423848282,38.613330739561285,0.6389376486479408,16.36267573696145,WB
P02_M_C2_Laptop_S05.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),2,-16.058440589651617,43.24012353796423,0.6076562874357265,9.941337868480726,WB
P02_M_C3_Smartphone_S01.wav,P02,Smartphone (iPhone 11 Pro),3,-20.85073938572746,44.70430078248558,0.8149901315342554,14.378662131519274,FB
P02_M_C3_Smartphone_S02.wav,P02,Smartphone (iPhone 11 Pro),3,-22.994262359409888,44.39135497392449,0.8586665628631196,12.43732426303855,FB
P02_M_C3_Smartphone_S03.wav,P02,Smartphone (iPhone 11 Pro),3,-20.378589949680915,46.18318667503317,0.8097235394090048,14.250657596371882,FB
P02_M_C3_Smartphone_S04.wav,P02,Smartphone (iPhone 11 Pro),3,-21.967863842970573,45.0576110849742,0.8817540555676386,15.36,FB
P02_M_C3_Smartphone_S05.wav,P02,Smartphone (iPhone 11 Pro),3,-21.16339836330158,49.458895115100425,0.7726082347034646,8.085328798185941,SWB
P02_M_C4_Laptop_S01.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),4,-19.361170924572253,40.97955771737055,0.7485957620577326,14.933333333333334,WB
P02_M_C4_Laptop_S02.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),4,-18.393474949431447,41.51934407362005,0.7597942716277224,14.656009070294784,WB
P02_M_C4_Laptop_S03.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),4,-17.441254520317035,39.73240227311179,0.7576000680058044,15.103990929705216,WB
P02_M_C4_Laptop_S04.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),4,-18.193187395692668,43.43900556889864,0.7469019212251875,15.317324263038548,WB
P02_M_C4_Laptop_S05.wav,P02,Laptop (Lenovo ThinkPad X1 Carbon),4,-17.216917652409002,45.998620060672295,0.6652416815587087,9.109342403628116,WB
P02_M_C5_Smartphone_S01.wav,P02,Smartphone (iPhone 11 Pro),5,-23.19815078276093,99.0,0.9831069255757844,13.76,SWB
P02_M_C5_Smartphone_S02.wav,P02,Smartphone (iPhone 11 Pro),5,-20.12513597406243,42.31907815296332,0.9706058422519096,12.885328798185942,SWB
P02_M_C5_Smartphone_S03.wav,P02,Smartphone (iPhone 11 Pro),5,-18.513582350842835,31.070464424155816,0.99312950793932,14.08,SWB
P02_M_C5_Smartphone_S04.wav,P02,Smartphone (iPhone 11 Pro),5,-22.482258906387457,99.0,0.9895084473542946,14.613333333333332,SWB
P02_M_C5_Smartphone_S05.wav,P02,Smartphone (iPhone 11 Pro),5,-22.517069288408337,99.0,0.9577348710018776,8.23467120181406,SWB
P02_M_C6_Smartphone_S01.wav,P02,Smartphone (iPhone 11 Pro),6,-43.27322410694013,99.0,0.8032290717100703,15.103990929705216,FB
P02_M_C6_Smartphone_S02.wav,P02,Smartphone (iPhone 11 Pro),6,-19.3699024960452,45.56403391702462,0.972241818660839,13.951995464852608,FB
P02_M_C6_Smartphone_S03.wav,P02,Smartphone (iPhone 11 Pro),6,-17.828344771744455,34.066575321085885,0.9903365654397432,15.829342403628118,FB
P02_M_C6_Smartphone_S04.wav,P02,Smartphone (iPhone 11 Pro),6,-19.875557801726043,32.46450363269093,0.9898300505483322,14.463990929705217,FB
P02_M_C6_Smartphone_S05.wav,P02,Smartphone (iPhone 11 Pro),6,-18.79404357423972,99.0,0.9316798519883276,7.786666666666667,FB
P02_M_C7_Smartphone_S01.wav,P02,Smartphone (iPhone 11 Pro),7,-38.89006449943382,47.77914219374804,0.8972768070130146,14.08,FB
P02_M_C7_Smartphone_S02.wav,P02,Smartphone (iPhone 11 Pro),7,-39.55968332651301,99.0,0.9033228199771394,12.351995464852608,FB
P02_M_C7_Smartphone_S03.wav,P02,Smartphone (iPhone 11 Pro),7,-37.81257117306194,41.73724377587849,0.899369119277111,15.743990929705216,FB
P02_M_C7_Smartphone_S04.wav,P02,Smartphone (iPhone 11 Pro),7,-39.213728577360165,99.0,0.8766671288834686,13.056009070294785,FB
P02_M_C7_Smartphone_S05.wav,P02,Smartphone (iPhone 11 Pro),7,-39.64999081610565,47.82120281341598,0.7825934396573667,8.831995464852607,FB
P02_M_C8_Headset_S01.wav,P02,Headset (Sennheiser PXC 550),8,-34.40076557768564,99.0,0.9476574638701072,15.36,FB
P02_M_C8_Headset_S02.wav,P02,Headset (Sennheiser PXC 550),8,-34.9692495747551,41.26087445202698,0.8600281813357684,15.296009070294785,FB
P02_M_C8_Headset_S03.wav,P02,Headset (Sennheiser PXC 550),8,-35.487162519211026,48.43927920620979,0.8716240937137467,14.016009070294784,FB
P02_M_C8_Headset_S04.wav,P02,Headset (Sennheiser PXC 550),8,-33.534988754674686,51.08097524286636,0.8592914705892185,15.68,FB
P02_M_C8_Headset_S05.wav,P02,Headset (Sennheiser PXC 550),8,-33.59204319311821,53.52389827079864,0.8223443355991765,8.128004535147392,FB
P02_M_C9_Headset_S01.wav,P02,Headset (Sennheiser PXC 550),9,-37.72895876017172,47.73857386569592,0.8903803218028394,15.231995464852607,FB
P02_M_C9_Headset_S02.wav,P02,Headset (Sennheiser PXC 550),9,-35.373776487570964,45.87756841899756,0.8792254155337599,15.488004535147391,FB
