,Participant_ID,Gender,Condition,Device,Sentence,File_Name,Remarks,ASL,Percentage of Speech,Duration,Loudness,Bandwidth,SNR
68,P01,F,In the lab office,AirPods,S04,P01_F_C5_AirPods_S04.wav,connected to laptop,-26.15042599643872,0.7921294974098216,14.86077097505669,-26.737781992953128,NB,41.9646091012476
69,P01,F,In the lab office,AirPods,S05,P01_F_C5_AirPods_S05.wav,connected to laptop,-24.62491467627205,0.7082098462921973,9.05578231292517,-25.154730147164774,NB,49.08415039279206
70,P01,F,In front of MAR,Smartphone (iPhone 11 Pro),S01,P01_F_C6_Smartphone_S01.wav,,-17.8719023430819,0.9652602374714432,13.162675736961452,-17.91745256593967,SWB,35.83986482692308
71,P01,F,In front of MAR,Smartphone (iPhone 11 Pro),S02,P01_F_C6_Smartphone_S02.wav,,-16.57803454946055,0.9119323501290524,12.671995464852609,-16.658395998599755,SWB,40.21434413875788
72,P01,F,In front of MAR,Smartphone (iPhone 11 Pro),S03,P01_F_C6_Smartphone_S03.wav,,-16.473663715011767,0.940957199926826,13.418662131519277,-16.61490708282551,SWB,39.81509609578888
73,P01,F,In front of MAR,Smartphone (iPhone 11 Pro),S04,P01_F_C6_Smartphone_S04.wav,,-17.19946752568045,0.932164537962149,13.12,-17.334056628639242,SWB,38.17914287047146
74,P01,F,In front of MAR,Smartphone (iPhone 11 Pro),S05,P01_F_C6_Smartphone_S05.wav,,-16.72885120613309,0.9026972381395312,7.765328798185941,-16.44765065003041,SWB,46.54672303337529
75,P01,F,Campus,Smartphone (iPhone 11 Pro),S01,P01_F_C7_Smartphone_S01.wav,,-16.264515650959876,0.9094526352862176,7.957324263038549,-16.17086353459162,SWB,50.52697514795896
76,P01,F,Campus,Smartphone (iPhone 11 Pro),S02,P01_F_C7_Smartphone_S02.wav,,-17.788291747251268,0.9509955987192164,12.8,-17.94587575614967,SWB,38.14457879933136
77,P01,F,Campus,Smartphone (iPhone 11 Pro),S03,P01_F_C7_Smartphone_S03.wav,,-18.935443530950103,0.9244451132836872,12.906666666666666,-19.471274303710143,SWB,38.5379616561312
78,P01,F,Campus,Smartphone (iPhone 11 Pro),S04,P01_F_C7_Smartphone_S04.wav,,-16.963623309666076,0.927280620878869,11.52,-17.214211206980323,SWB,40.880810584504125
79,P01,F,Campus,Smartphone (iPhone 11 Pro),S05,P01_F_C7_Smartphone_S05.wav,,-17.508567485995993,0.9199193305150236,13.034671201814058,-17.74470063587001,SWB,38.2294046052729
80,P01,F,U-Bhf,AirPods,S01,P01_F_C8_AirPods_S01.wav,,-24.89210840494652,0.8905736218111178,12.501337868480723,-25.074368275559397,SWB,36.89911100147178
